# NE_LO   sin2theta_W   A(s)   dchi2
    1    1.616667E-02    5.946233E-02    6.477647E+03
    2    1.616667E-02    5.946233E-02    4.727659E+03
    3    1.616667E-02    5.946233E-02    3.574347E+03
    4    1.616667E-02    5.946233E-02    2.718118E+03
    1    1.633333E-02    5.973901E-02    6.473836E+03
    2    1.633333E-02    5.973901E-02    4.724878E+03
    3    1.633333E-02    5.973901E-02    3.572244E+03
    4    1.633333E-02    5.973901E-02    2.716519E+03
    1    1.650000E-02    6.001633E-02    6.470018E+03
    2    1.650000E-02    6.001633E-02    4.722091E+03
    3    1.650000E-02    6.001633E-02    3.570137E+03
    4    1.650000E-02    6.001633E-02    2.714917E+03
    1    1.666667E-02    6.029429E-02    6.466192E+03
    2    1.666667E-02    6.029429E-02    4.719299E+03
    3    1.666667E-02    6.029429E-02    3.568026E+03
    4    1.666667E-02    6.029429E-02    2.713312E+03
    1    1.683333E-02    6.057289E-02    6.462359E+03
    2    1.683333E-02    6.057289E-02    4.716501E+03
    3    1.683333E-02    6.057289E-02    3.565911E+03
    4    1.683333E-02    6.057289E-02    2.711703E+03
    1    1.700000E-02    6.085214E-02    6.458517E+03
    2    1.700000E-02    6.085214E-02    4.713698E+03
    3    1.700000E-02    6.085214E-02    3.563791E+03
    4    1.700000E-02    6.085214E-02    2.710091E+03
    1    1.716667E-02    6.113202E-02    6.454669E+03
    2    1.716667E-02    6.113202E-02    4.710889E+03
    3    1.716667E-02    6.113202E-02    3.561668E+03
    4    1.716667E-02    6.113202E-02    2.708476E+03
    1    1.733333E-02    6.141255E-02    6.450812E+03
    2    1.733333E-02    6.141255E-02    4.708074E+03
    3    1.733333E-02    6.141255E-02    3.559539E+03
    4    1.733333E-02    6.141255E-02    2.706858E+03
    1    1.750000E-02    6.169372E-02    6.446947E+03
    2    1.750000E-02    6.169372E-02    4.705253E+03
    3    1.750000E-02    6.169372E-02    3.557407E+03
    4    1.750000E-02    6.169372E-02    2.705236E+03
    1    1.766667E-02    6.197554E-02    6.443075E+03
    2    1.766667E-02    6.197554E-02    4.702427E+03
    3    1.766667E-02    6.197554E-02    3.555271E+03
    4    1.766667E-02    6.197554E-02    2.703612E+03
    1    1.783333E-02    6.225799E-02    6.439196E+03
    2    1.783333E-02    6.225799E-02    4.699596E+03
    3    1.783333E-02    6.225799E-02    3.553130E+03
    4    1.783333E-02    6.225799E-02    2.701984E+03
    1    1.800000E-02    6.254109E-02    6.435309E+03
    2    1.800000E-02    6.254109E-02    4.696759E+03
    3    1.800000E-02    6.254109E-02    3.550985E+03
    4    1.800000E-02    6.254109E-02    2.700352E+03
    1    1.816667E-02    6.282483E-02    6.431414E+03
    2    1.816667E-02    6.282483E-02    4.693916E+03
    3    1.816667E-02    6.282483E-02    3.548836E+03
    4    1.816667E-02    6.282483E-02    2.698718E+03
    1    1.833333E-02    6.310921E-02    6.427511E+03
    2    1.833333E-02    6.310921E-02    4.691068E+03
    3    1.833333E-02    6.310921E-02    3.546682E+03
    4    1.833333E-02    6.310921E-02    2.697080E+03
    1    1.850000E-02    6.339424E-02    6.423601E+03
    2    1.850000E-02    6.339424E-02    4.688214E+03
    3    1.850000E-02    6.339424E-02    3.544524E+03
    4    1.850000E-02    6.339424E-02    2.695440E+03
    1    1.866667E-02    6.367990E-02    6.419683E+03
    2    1.866667E-02    6.367990E-02    4.685355E+03
    3    1.866667E-02    6.367990E-02    3.542363E+03
    4    1.866667E-02    6.367990E-02    2.693796E+03
    1    1.883333E-02    6.396621E-02    6.415758E+03
    2    1.883333E-02    6.396621E-02    4.682490E+03
    3    1.883333E-02    6.396621E-02    3.540197E+03
    4    1.883333E-02    6.396621E-02    2.692149E+03
    1    1.900000E-02    6.425316E-02    6.411824E+03
    2    1.900000E-02    6.425316E-02    4.679619E+03
    3    1.900000E-02    6.425316E-02    3.538026E+03
    4    1.900000E-02    6.425316E-02    2.690498E+03
    1    1.916667E-02    6.454075E-02    6.407884E+03
    2    1.916667E-02    6.454075E-02    4.676743E+03
    3    1.916667E-02    6.454075E-02    3.535852E+03
    4    1.916667E-02    6.454075E-02    2.688845E+03
    1    1.933333E-02    6.482899E-02    6.403936E+03
    2    1.933333E-02    6.482899E-02    4.673862E+03
    3    1.933333E-02    6.482899E-02    3.533673E+03
    4    1.933333E-02    6.482899E-02    2.687188E+03
    1    1.950000E-02    6.511787E-02    6.399980E+03
    2    1.950000E-02    6.511787E-02    4.670974E+03
    3    1.950000E-02    6.511787E-02    3.531490E+03
    4    1.950000E-02    6.511787E-02    2.685528E+03
    1    1.966667E-02    6.540739E-02    6.396017E+03
