# EEE =   0.328000   n_T = 800   NE_HI = 30
# T_keV                w_T[ev/(kg dia)]        n_F   p_F                     lambda_creados
  2.167209011264E+00    0.00000000000000E+00      27    5.58986593658881E-01    1.52835366869461E+01
  2.174468085106E+00    0.00000000000000E+00      28    5.53940275441760E-01    1.53328835971168E+01
  2.181727158949E+00    0.00000000000000E+00      27    5.59479067134494E-01    1.53822002089267E+01
  2.188986232791E+00    0.00000000000000E+00      27    5.63287436868095E-01    1.54314889477852E+01
  2.196245306633E+00    0.00000000000000E+00      28    5.56709778889714E-01    1.54807476361718E+01
  2.203504380476E+00    0.00000000000000E+00      28    5.51268066167935E-01    1.55299764379614E+01
  2.210763454318E+00    0.00000000000000E+00      28    5.53824045414698E-01    1.55791773804798E+01
  2.218022528160E+00    0.00000000000000E+00      28    5.50848730832211E-01    1.56283505173937E+01
  2.225281602003E+00    0.00000000000000E+00      28    5.51447285720163E-01    1.56774935675921E+01
  2.232540675845E+00    0.00000000000000E+00      28    5.53926988812286E-01    1.57266078865728E+01
  2.239799749687E+00    0.00000000000000E+00      29    5.52148275059927E-01    1.57756931671102E+01
  2.247058823529E+00    0.00000000000000E+00      28    5.57330503039847E-01    1.58247521461296E+01
  2.254317897372E+00    0.00000000000000E+00      29    5.51796007282908E-01    1.58737801785947E+01
  2.261576971214E+00    0.00000000000000E+00      29    5.51248934777418E-01    1.59227812340176E+01
  2.268836045056E+00    0.00000000000000E+00      29    5.46214224390536E-01    1.59717548934733E+01
  2.276095118899E+00    0.00000000000000E+00      29    5.53535008521244E-01    1.60206986857962E+01
  2.283354192741E+00    0.00000000000000E+00      29    5.55665763120115E-01    1.60696153299431E+01
  2.290613266583E+00    0.00000000000000E+00      29    5.51231136905289E-01    1.61185036229703E+01
  2.297872340426E+00    0.00000000000000E+00      29    5.57262099459070E-01    1.61673645671762E+01
  2.305131414268E+00    0.00000000000000E+00      29    5.53862340175728E-01    1.62161963509774E+01
  2.312390488110E+00    0.00000000000000E+00      29    5.53581048358907E-01    1.62650021002313E+01
  2.319649561952E+00    0.00000000000000E+00      30    5.47277387068581E-01    1.63137785252561E+01
  2.326908635795E+00    0.00000000000000E+00      30    5.51023239076803E-01    1.63625271616423E+01
  2.334167709637E+00    0.00000000000000E+00      30    5.53422822290995E-01    1.64112484896615E+01
  2.341426783479E+00    0.00000000000000E+00      30    5.50958865405715E-01    1.64599443547732E+01
  2.348685857322E+00    0.00000000000000E+00      30    5.49232159720152E-01    1.65086093093382E+01
