# sin2theta_W   A(s)   chi2   dchi2
   6.366667E-02     1.881429E-01     1.638356E+01     9.034549E+00
   6.383333E-02     1.886113E-01     1.637300E+01     9.023984E+00
   6.400000E-02     1.890803E-01     1.636243E+01     9.013411E+00
   6.416667E-02     1.895498E-01     1.635185E+01     9.002831E+00
   6.433333E-02     1.900200E-01     1.634126E+01     8.992243E+00
   6.450000E-02     1.904907E-01     1.633066E+01     8.981647E+00
   6.466667E-02     1.909620E-01     1.632006E+01     8.971044E+00
   6.483333E-02     1.914338E-01     1.630945E+01     8.960433E+00
   6.500000E-02     1.919063E-01     1.629883E+01     8.949815E+00
   6.516667E-02     1.923793E-01     1.628820E+01     8.939189E+00
   6.533333E-02     1.928530E-01     1.627757E+01     8.928555E+00
   6.550000E-02     1.933272E-01     1.626693E+01     8.917915E+00
   6.566667E-02     1.938020E-01     1.625628E+01     8.907266E+00
   6.583333E-02     1.942773E-01     1.624563E+01     8.896611E+00
   6.600000E-02     1.947533E-01     1.623496E+01     8.885948E+00
   6.616667E-02     1.952298E-01     1.622429E+01     8.875277E+00
   6.633333E-02     1.957069E-01     1.621362E+01     8.864600E+00
   6.650000E-02     1.961846E-01     1.620293E+01     8.853915E+00
   6.666667E-02     1.966629E-01     1.619224E+01     8.843223E+00
   6.683333E-02     1.971418E-01     1.618154E+01     8.832523E+00
   6.700000E-02     1.976212E-01     1.617083E+01     8.821816E+00
   6.716667E-02     1.981012E-01     1.616012E+01     8.811102E+00
   6.733333E-02     1.985818E-01     1.614940E+01     8.800381E+00
   6.750000E-02     1.990630E-01     1.613867E+01     8.789653E+00
   6.766667E-02     1.995448E-01     1.612793E+01     8.778917E+00
   6.783333E-02     2.000272E-01     1.611719E+01     8.768175E+00
   6.800000E-02     2.005101E-01     1.610644E+01     8.757425E+00
   6.816667E-02     2.009936E-01     1.609568E+01     8.746668E+00
   6.833333E-02     2.014777E-01     1.608492E+01     8.735905E+00
   6.850000E-02     2.019624E-01     1.607415E+01     8.725134E+00
   6.866667E-02     2.024477E-01     1.606337E+01     8.714356E+00
   6.883333E-02     2.029335E-01     1.605259E+01     8.703572E+00
   6.900000E-02     2.034200E-01     1.604180E+01     8.692780E+00
   6.916667E-02     2.039070E-01     1.603100E+01     8.681981E+00
   6.933333E-02     2.043946E-01     1.602019E+01     8.671176E+00
   6.950000E-02     2.048828E-01     1.600938E+01     8.660364E+00
   6.966667E-02     2.053715E-01     1.599856E+01     8.649545E+00
   6.983333E-02     2.058609E-01     1.598773E+01     8.638719E+00
