# EEE =   0.990000   n_T = 800   NE_HI = 30
# T_keV                w_T[ev/(kg dia)]        n_F   p_F                     lambda_creados
  1.315143929912E+00    1.68178467653784E-02      12    9.00623722190332E-01    1.08008956853233E+01
  1.319274092616E+00    1.66345338322257E-02      12    9.00158914366643E-01    1.08309038454986E+01
  1.323404255319E+00    1.64531417951127E-02      12    8.99692993760998E-01    1.08608780654002E+01
  1.327534418023E+00    1.62739795682946E-02      12    8.99424637187462E-01    1.08908207386379E+01
  1.331664580726E+00    1.60967394469320E-02      12    8.99329684169165E-01    1.09207283610925E+01
  1.335794743429E+00    1.59215972548680E-02      12    8.99235291501595E-01    1.09506034464911E+01
  1.339924906133E+00    1.57484017598413E-02      12    8.99140129936857E-01    1.09804463883398E+01
  1.344055068836E+00    1.55771845480774E-02      12    8.99045701749538E-01    1.10102545993044E+01
  1.348185231539E+00    1.54079294021952E-02      12    8.98950784250990E-01    1.10400317490817E+01
  1.352315394243E+00    1.52405445026143E-02      12    8.98861964016025E-01    1.10697757177744E+01
  1.356445556946E+00    1.50751283544633E-02      12    8.98824718222624E-01    1.10994865192999E+01
  1.360575719650E+00    1.49114854234666E-02      12    8.98789555272868E-01    1.11291661597148E+01
  1.364705882353E+00    1.47498097633851E-02      12    8.98754314999598E-01    1.11588132239365E+01
  1.368836045056E+00    1.45898207216584E-02      12    8.98718793205280E-01    1.11884277228638E+01
  1.372966207760E+00    1.44317898000665E-02      12    8.98683909295368E-01    1.12180118901785E+01
  1.377096370463E+00    1.42753687738935E-02      13    8.98648200399166E-01    1.12475621705054E+01
  1.381226533166E+00    1.41208895219166E-02      13    8.98939994556593E-01    1.12770823518295E+01
  1.385356695870E+00    1.39679692190732E-02      13    8.99453317807547E-01    1.13065700040485E+01
  1.389486858573E+00    1.38169347383284E-02      13    8.99966719248343E-01    1.13360268100812E+01
  1.393617021277E+00    1.36674329638641E-02      13    9.00479519393261E-01    1.13654533915103E+01
  1.397747183980E+00    1.35197558800054E-02      13    9.00993437403800E-01    1.13948462126786E+01
  1.401877346683E+00    1.33735859951613E-02      13    9.01506244085011E-01    1.14242109025720E+01
  1.406007509387E+00    1.32291878718426E-02      13    9.01959491969199E-01    1.14535437447867E+01
  1.410137672090E+00    1.30862656536229E-02      13    9.02111453132205E-01    1.14828449856973E+01
  1.414267834793E+00    1.29450700092691E-02      13    9.02250024429033E-01    1.15121163391226E+01
