# Templates de respuesta RED-100 (Interpolacion PCHIP)
# Bloques: N_puntos
5000
4.152831E+01 1.743289E-03
4.158832E+01 1.705992E-03
4.164833E+01 1.669381E-03
4.170834E+01 1.633445E-03
4.176835E+01 1.598175E-03
4.182837E+01 1.563561E-03
4.188838E+01 1.529595E-03
4.194839E+01 1.496266E-03
4.200840E+01 1.463566E-03
4.206841E+01 1.431485E-03
4.212843E+01 1.400015E-03
4.218844E+01 1.369145E-03
4.224845E+01 1.338868E-03
4.230846E+01 1.309174E-03
4.236847E+01 1.280054E-03
4.242849E+01 1.251500E-03
4.248850E+01 1.223502E-03
4.254851E+01 1.196047E-03
4.260852E+01 1.169082E-03
4.266853E+01 1.142596E-03
4.272855E+01 1.116585E-03
4.278856E+01 1.091043E-03
4.284857E+01 1.065968E-03
4.290858E+01 1.041354E-03
4.296859E+01 1.017197E-03
4.302861E+01 9.934921E-04
4.308862E+01 9.702351E-04
4.314863E+01 9.474209E-04
4.320864E+01 9.250448E-04
4.326865E+01 9.031016E-04
4.332867E+01 8.815865E-04
4.338868E+01 8.604942E-04
4.344869E+01 8.398198E-04
4.350870E+01 8.195579E-04
4.356871E+01 7.997034E-04
4.362873E+01 7.802509E-04
4.368874E+01 7.611952E-04
4.374875E+01 7.425310E-04
4.380876E+01 7.242527E-04
4.386877E+01 7.063551E-04
4.392879E+01 6.888327E-04
4.398880E+01 6.716801E-04
4.404881E+01 6.548918E-04
4.410882E+01 6.384625E-04
4.416883E+01 6.223866E-04
4.422885E+01 6.066587E-04
4.428886E+01 5.912734E-04
4.434887E+01 5.762252E-04
4.440888E+01 5.615087E-04
4.446889E+01 5.471186E-04
4.452891E+01 5.330494E-04
4.458892E+01 5.192957E-04
4.464893E+01 5.058523E-04
4.470894E+01 4.927138E-04
4.476895E+01 4.798749E-04
4.482897E+01 4.673304E-04
4.488898E+01 4.550750E-04
4.494899E+01 4.431036E-04
4.500900E+01 4.314110E-04
4.506901E+01 4.199921E-04
4.512903E+01 4.088418E-04
4.518904E+01 3.979552E-04
4.524905E+01 3.873272E-04
4.530906E+01 3.769529E-04
4.536907E+01 3.668274E-04
4.542909E+01 3.569460E-04
4.548910E+01 3.473037E-04
4.554911E+01 3.378960E-04
4.560912E+01 3.287180E-04
4.566913E+01 3.197653E-04
4.572915E+01 3.110332E-04
4.578916E+01 3.025171E-04
4.584917E+01 2.942128E-04
4.590918E+01 2.861157E-04
4.596919E+01 2.782216E-04
4.602921E+01 2.705260E-04
4.608922E+01 2.630250E-04
4.614923E+01 2.557142E-04
4.620924E+01 2.485895E-04
4.626925E+01 2.416470E-04
4.632927E+01 2.348826E-04
4.638928E+01 2.282924E-04
4.644929E+01 2.218727E-04
4.650930E+01 2.156194E-04
4.656931E+01 2.095291E-04
4.662933E+01 2.035978E-04
4.668934E+01 1.978221E-04
4.674935E+01 1.921984E-04
4.680936E+01 1.867232E-04
4.686937E+01 1.813930E-04
4.692939E+01 1.762045E-04
4.698940E+01 1.711544E-04
4.704941E+01 1.662394E-04
4.710942E+01 1.614563E-04
4.716943E+01 1.568020E-04
4.722945E+01 1.522734E-04
4.728946E+01 1.478674E-04
4.734947E+01 1.435812E-04
4.740948E+01 1.394117E-04
4.746949E+01 1.353563E-04
4.752951E+01 1.314119E-04
4.758952E+01 1.275735E-04
4.764953E+01 1.238334E-04
4.770954E+01 1.201895E-04
4.776955E+01 1.166399E-04
4.782957E+01 1.131826E-04
4.788958E+01 1.098157E-04
4.794959E+01 1.065375E-04
4.800960E+01 1.033459E-04
4.806961E+01 1.002392E-04
4.812963E+01 9.721565E-05
4.818964E+01 9.427332E-05
4.824965E+01 9.141048E-05
4.830966E+01 8.862539E-05
4.836967E+01 8.591631E-05
4.842969E+01 8.328154E-05
4.848970E+01 8.071939E-05
4.854971E+01 7.822821E-05
4.860972E+01 7.580635E-05
4.866973E+01 7.345222E-05
4.872975E+01 7.116422E-05
4.878976E+01 6.894079E-05
4.884977E+01 6.678039E-05
4.890978E+01 6.468152E-05
4.896979E+01 6.264267E-05
4.902981E+01 6.066240E-05
4.908982E+01 5.873927E-05
