# NE_LO   sin2theta_W   A(s)   dchi2
    1    1.383333E-02    1.215823E-01    1.634634E+03
    2    1.383333E-02    1.215823E-01    3.170609E+02
    3    1.383333E-02    1.215823E-01    5.515297E+01
    4    1.383333E-02    1.215823E-01    9.374432E+00
    1    1.400000E-02    1.219194E-01    1.633380E+03
    2    1.400000E-02    1.219194E-01    3.168177E+02
    3    1.400000E-02    1.219194E-01    5.511065E+01
    4    1.400000E-02    1.219194E-01    9.367239E+00
    1    1.416667E-02    1.222569E-01    1.632124E+03
    2    1.416667E-02    1.222569E-01    3.165741E+02
    3    1.416667E-02    1.222569E-01    5.506829E+01
    4    1.416667E-02    1.222569E-01    9.360039E+00
    1    1.433333E-02    1.225950E-01    1.630867E+03
    2    1.433333E-02    1.225950E-01    3.163304E+02
    3    1.433333E-02    1.225950E-01    5.502589E+01
    4    1.433333E-02    1.225950E-01    9.352831E+00
    1    1.450000E-02    1.229334E-01    1.629609E+03
    2    1.450000E-02    1.229334E-01    3.160863E+02
    3    1.450000E-02    1.229334E-01    5.498344E+01
    4    1.450000E-02    1.229334E-01    9.345616E+00
    1    1.466667E-02    1.232724E-01    1.628350E+03
    2    1.466667E-02    1.232724E-01    3.158421E+02
    3    1.466667E-02    1.232724E-01    5.494095E+01
    4    1.466667E-02    1.232724E-01    9.338395E+00
    1    1.483333E-02    1.236118E-01    1.627089E+03
    2    1.483333E-02    1.236118E-01    3.155976E+02
    3    1.483333E-02    1.236118E-01    5.489842E+01
    4    1.483333E-02    1.236118E-01    9.331165E+00
    1    1.500000E-02    1.239517E-01    1.625828E+03
    2    1.500000E-02    1.239517E-01    3.153528E+02
    3    1.500000E-02    1.239517E-01    5.485585E+01
    4    1.500000E-02    1.239517E-01    9.323929E+00
    1    1.516667E-02    1.242920E-01    1.624565E+03
    2    1.516667E-02    1.242920E-01    3.151079E+02
    3    1.516667E-02    1.242920E-01    5.481323E+01
    4    1.516667E-02    1.242920E-01    9.316686E+00
    1    1.533333E-02    1.246328E-01    1.623300E+03
    2    1.533333E-02    1.246328E-01    3.148626E+02
    3    1.533333E-02    1.246328E-01    5.477058E+01
    4    1.533333E-02    1.246328E-01    9.309436E+00
    1    1.550000E-02    1.249741E-01    1.622035E+03
    2    1.550000E-02    1.249741E-01    3.146172E+02
    3    1.550000E-02    1.249741E-01    5.472788E+01
    4    1.550000E-02    1.249741E-01    9.302178E+00
    1    1.566667E-02    1.253158E-01    1.620768E+03
    2    1.566667E-02    1.253158E-01    3.143715E+02
    3    1.566667E-02    1.253158E-01    5.468514E+01
    4    1.566667E-02    1.253158E-01    9.294914E+00
    1    1.583333E-02    1.256581E-01    1.619500E+03
    2    1.583333E-02    1.256581E-01    3.141255E+02
    3    1.583333E-02    1.256581E-01    5.464236E+01
    4    1.583333E-02    1.256581E-01    9.287642E+00
    1    1.600000E-02    1.260007E-01    1.618231E+03
    2    1.600000E-02    1.260007E-01    3.138794E+02
    3    1.600000E-02    1.260007E-01    5.459953E+01
    4    1.600000E-02    1.260007E-01    9.280363E+00
    1    1.616667E-02    1.263439E-01    1.616960E+03
    2    1.616667E-02    1.263439E-01    3.136329E+02
    3    1.616667E-02    1.263439E-01    5.455667E+01
    4    1.616667E-02    1.263439E-01    9.273077E+00
