# sin2theta_W    chi2
  0.175783        9.3129
  0.175947        9.3045
  0.176110        9.2963
  0.176273        9.2880
  0.176437        9.2797
  0.176600        9.2715
  0.176763        9.2632
  0.176927        9.2550
  0.177090        9.2468
  0.177253        9.2386
  0.177417        9.2304
  0.177580        9.2223
  0.177743        9.2141
  0.177907        9.2060
  0.178070        9.1979
  0.178233        9.1898
  0.178397        9.1817
  0.178560        9.1736
  0.178723        9.1655
  0.178887        9.1575
  0.179050        9.1495
  0.179213        9.1414
  0.179377        9.1334
  0.179540        9.1254
  0.179703        9.1175
  0.179867        9.1095
  0.180030        9.1016
  0.180193        9.0936
  0.180357        9.0857
  0.180520        9.0778
  0.180683        9.0699
  0.180847        9.0621
  0.181010        9.0542
  0.181173        9.0464
  0.181337        9.0385
  0.181500        9.0307
  0.181663        9.0229
  0.181827        9.0152
  0.181990        9.0074
  0.182153        8.9996
  0.182317        8.9919
  0.182480        8.9842
  0.182643        8.9765
  0.182807        8.9688
  0.182970        8.9611
  0.183133        8.9535
  0.183297        8.9458
  0.183460        8.9382
  0.183623        8.9306
  0.183787        8.9230
  0.183950        8.9154
  0.184113        8.9078
  0.184277        8.9003
  0.184440        8.8928
  0.184603        8.8852
  0.184767        8.8777
  0.184930        8.8702
  0.185093        8.8628
  0.185257        8.8553
  0.185420        8.8479
  0.185583        8.8404
  0.185747        8.8330
  0.185910        8.8256
  0.186073        8.8183
  0.186237        8.8109
  0.186400        8.8036
  0.186563        8.7962
  0.186727        8.7889
  0.186890        8.7816
  0.187053        8.7743
  0.187217        8.7671
  0.187380        8.7598
  0.187543        8.7526
  0.187707        8.7454
  0.187870        8.7382
  0.188033        8.7310
  0.188197        8.7238
  0.188360        8.7167
  0.188523        8.7095
  0.188687        8.7024
  0.188850        8.6953
  0.189013        8.6882
  0.189177        8.6811
  0.189340        8.6741
  0.189503        8.6670
  0.189667        8.6600
  0.189830        8.6530
  0.189993        8.6460
  0.190157        8.6390
  0.190320        8.6321
  0.190483        8.6251
  0.190647        8.6182
  0.190810        8.6113
  0.190973        8.6044
  0.191137        8.5975
  0.191300        8.5907
  0.191463        8.5838
  0.191627        8.5770
  0.191790        8.5702
  0.191953        8.5634
  0.192117        8.5567
  0.192280        8.5499
  0.192443        8.5432
  0.192607        8.5364
  0.192770        8.5297
  0.192933        8.5230
  0.193097        8.5164
  0.193260        8.5097
  0.193423        8.5031
  0.193587        8.4964
  0.193750        8.4898
  0.193913        8.4833
  0.194077        8.4767
  0.194240        8.4701
  0.194403        8.4636
  0.194567        8.4571
  0.194730        8.4506
  0.194893        8.4441
