# sin2theta_W   A(s)   chi2   dchi2
   4.633333E-02     1.961386E-01     1.751092E+01     6.712404E-04
   4.650000E-02     1.965667E-01     1.751092E+01     6.740954E-04
   4.666667E-02     1.969952E-01     1.751092E+01     6.769536E-04
   4.683333E-02     1.974242E-01     1.751092E+01     6.798151E-04
   4.700000E-02     1.978537E-01     1.751093E+01     6.826796E-04
   4.716667E-02     1.982836E-01     1.751093E+01     6.855474E-04
   4.733333E-02     1.987140E-01     1.751093E+01     6.884183E-04
   4.750000E-02     1.991449E-01     1.751094E+01     6.912925E-04
   4.766667E-02     1.995762E-01     1.751094E+01     6.941698E-04
   4.783333E-02     2.000080E-01     1.751094E+01     6.970502E-04
   4.800000E-02     2.004403E-01     1.751094E+01     6.999339E-04
   4.816667E-02     2.008730E-01     1.751095E+01     7.028207E-04
   4.833333E-02     2.013062E-01     1.751095E+01     7.057107E-04
   4.850000E-02     2.017399E-01     1.751095E+01     7.086039E-04
   4.866667E-02     2.021740E-01     1.751096E+01     7.115003E-04
   4.883333E-02     2.026086E-01     1.751096E+01     7.143998E-04
   4.900000E-02     2.030437E-01     1.751096E+01     7.173025E-04
   4.916667E-02     2.034792E-01     1.751097E+01     7.202084E-04
   4.933333E-02     2.039152E-01     1.751097E+01     7.231175E-04
   4.950000E-02     2.043517E-01     1.751097E+01     7.260298E-04
   4.966667E-02     2.047887E-01     1.751097E+01     7.289452E-04
   4.983333E-02     2.052261E-01     1.751098E+01     7.318638E-04
   5.000000E-02     2.056639E-01     1.751098E+01     7.347856E-04
   5.016667E-02     2.061023E-01     1.751098E+01     7.377106E-04
   5.033333E-02     2.065411E-01     1.751099E+01     7.406387E-04
   5.050000E-02     2.069803E-01     1.751099E+01     7.435701E-04
   5.066667E-02     2.074201E-01     1.751099E+01     7.465046E-04
   5.083333E-02     2.078603E-01     1.751099E+01     7.494423E-04
   5.100000E-02     2.083009E-01     1.751100E+01     7.523832E-04
   5.116667E-02     2.087421E-01     1.751100E+01     7.553272E-04
   5.133333E-02     2.091837E-01     1.751100E+01     7.582745E-04
   5.150000E-02     2.096257E-01     1.751101E+01     7.612249E-04
   5.166667E-02     2.100683E-01     1.751101E+01     7.641785E-04
   5.183333E-02     2.105113E-01     1.751101E+01     7.671353E-04
   5.200000E-02     2.109547E-01     1.751101E+01     7.700953E-04
   5.216667E-02     2.113987E-01     1.751102E+01     7.730584E-04
   5.233333E-02     2.118431E-01     1.751102E+01     7.760248E-04
   5.250000E-02     2.122879E-01     1.751102E+01     7.789943E-04
   5.266667E-02     2.127333E-01     1.751103E+01     7.819670E-04
   5.283333E-02     2.131791E-01     1.751103E+01     7.849429E-04
   5.300000E-02     2.136253E-01     1.751103E+01     7.879220E-04
   5.316667E-02     2.140721E-01     1.751104E+01     7.909042E-04
   5.333333E-02     2.145193E-01     1.751104E+01     7.938897E-04
   5.350000E-02     2.149669E-01     1.751104E+01     7.968783E-04
   5.366667E-02     2.154151E-01     1.751104E+01     7.998701E-04
   5.383333E-02     2.158637E-01     1.751105E+01     8.028651E-04
   5.400000E-02     2.163127E-01     1.751105E+01     8.058633E-04
   5.416667E-02     2.167623E-01     1.751105E+01     8.088646E-04
   5.433333E-02     2.172123E-01     1.751106E+01     8.118692E-04
   5.450000E-02     2.176627E-01     1.751106E+01     8.148769E-04
   5.466667E-02     2.181137E-01     1.751106E+01     8.178878E-04
   5.483333E-02     2.185650E-01     1.751107E+01     8.209020E-04
   5.500000E-02     2.190169E-01     1.751107E+01     8.239193E-04
   5.516667E-02     2.194692E-01     1.751107E+01     8.269397E-04
   5.533333E-02     2.199220E-01     1.751107E+01     8.299634E-04
   5.550000E-02     2.203753E-01     1.751108E+01     8.329903E-04
   5.566667E-02     2.208290E-01     1.751108E+01     8.360203E-04
   5.583333E-02     2.212832E-01     1.751108E+01     8.390535E-04
   5.600000E-02     2.217379E-01     1.751109E+01     8.420900E-04
   5.616667E-02     2.221930E-01     1.751109E+01     8.451296E-04
   5.633333E-02     2.226486E-01     1.751109E+01     8.481724E-04
   5.650000E-02     2.231047E-01     1.751110E+01     8.512184E-04
   5.666667E-02     2.235612E-01     1.751110E+01     8.542675E-04
   5.683333E-02     2.240182E-01     1.751110E+01     8.573199E-04
   5.700000E-02     2.244757E-01     1.751111E+01     8.603754E-04
   5.716667E-02     2.249336E-01     1.751111E+01     8.634342E-04
   5.733333E-02     2.253920E-01     1.751111E+01     8.664961E-04
   5.750000E-02     2.258509E-01     1.751111E+01     8.695612E-04
   5.766667E-02     2.263102E-01     1.751112E+01     8.726295E-04
   5.783333E-02     2.267700E-01     1.751112E+01     8.757010E-04
   5.800000E-02     2.272303E-01     1.751112E+01     8.787757E-04
   5.816667E-02     2.276910E-01     1.751113E+01     8.818536E-04
   5.833333E-02     2.281522E-01     1.751113E+01     8.849347E-04
   5.850000E-02     2.286139E-01     1.751113E+01     8.880190E-04
   5.866667E-02     2.290760E-01     1.751114E+01     8.911064E-04
   5.883333E-02     2.295386E-01     1.751114E+01     8.941971E-04
   5.900000E-02     2.300017E-01     1.751114E+01     8.972909E-04
   5.916667E-02     2.304652E-01     1.751115E+01     9.003879E-04
   5.933333E-02     2.309292E-01     1.751115E+01     9.034882E-04
   5.950000E-02     2.313937E-01     1.751115E+01     9.065916E-04
   5.966667E-02     2.318586E-01     1.751115E+01     9.096982E-04
   5.983333E-02     2.323240E-01     1.751116E+01     9.128080E-04
   6.000000E-02     2.327899E-01     1.751116E+01     9.159210E-04
   6.016667E-02     2.332562E-01     1.751116E+01     9.190372E-04
   6.033333E-02     2.337230E-01     1.751117E+01     9.221566E-04
   6.050000E-02     2.341903E-01     1.751117E+01     9.252791E-04
   6.066667E-02     2.346580E-01     1.751117E+01     9.284049E-04
   6.083333E-02     2.351262E-01     1.751118E+01     9.315339E-04
   6.100000E-02     2.355949E-01     1.751118E+01     9.346660E-04
   6.116667E-02     2.360640E-01     1.751118E+01     9.378014E-04
   6.133333E-02     2.365336E-01     1.751119E+01     9.409399E-04
   6.150000E-02     2.370036E-01     1.751119E+01     9.440817E-04
   6.166667E-02     2.374742E-01     1.751119E+01     9.472266E-04
   6.183333E-02     2.379452E-01     1.751120E+01     9.503747E-04
   6.200000E-02     2.384166E-01     1.751120E+01     9.535261E-04
   6.216667E-02     2.388886E-01     1.751120E+01     9.566806E-04
   6.233333E-02     2.393610E-01     1.751120E+01     9.598383E-04
   6.250000E-02     2.398338E-01     1.751121E+01     9.629992E-04
   6.266667E-02     2.403072E-01     1.751121E+01     9.661634E-04
   6.283333E-02     2.407810E-01     1.751121E+01     9.693307E-04
   6.300000E-02     2.412552E-01     1.751122E+01     9.725012E-04
   6.316667E-02     2.417299E-01     1.751122E+01     9.756749E-04
   6.333333E-02     2.422051E-01     1.751122E+01     9.788518E-04
   6.350000E-02     2.426808E-01     1.751123E+01     9.820319E-04
   6.366667E-02     2.431569E-01     1.751123E+01     9.852152E-04
   6.383333E-02     2.436335E-01     1.751123E+01     9.884017E-04
   6.400000E-02     2.441106E-01     1.751124E+01     9.915914E-04
   6.416667E-02     2.445881E-01     1.751124E+01     9.947843E-04
   6.433333E-02     2.450661E-01     1.751124E+01     9.979804E-04
   6.450000E-02     2.455446E-01     1.751125E+01     1.001180E-03
   6.466667E-02     2.460235E-01     1.751125E+01     1.004382E-03
   6.483333E-02     2.465029E-01     1.751125E+01     1.007588E-03
   6.500000E-02     2.469828E-01     1.751126E+01     1.010797E-03
   6.516667E-02     2.474631E-01     1.751126E+01     1.014009E-03
   6.533333E-02     2.479439E-01     1.751126E+01     1.017224E-03
   6.550000E-02     2.484252E-01     1.751127E+01     1.020443E-03
   6.566667E-02     2.489069E-01     1.751127E+01     1.023664E-03
   6.583333E-02     2.493891E-01     1.751127E+01     1.026889E-03
   6.600000E-02     2.498717E-01     1.751127E+01     1.030117E-03
   6.616667E-02     2.503549E-01     1.751128E+01     1.033349E-03
   6.633333E-02     2.508385E-01     1.751128E+01     1.036583E-03
   6.650000E-02     2.513225E-01     1.751128E+01     1.039821E-03
   6.666667E-02     2.518071E-01     1.751129E+01     1.043062E-03
   6.683333E-02     2.522921E-01     1.751129E+01     1.046306E-03
   6.700000E-02     2.527775E-01     1.751129E+01     1.049553E-03
   6.716667E-02     2.532635E-01     1.751130E+01     1.052804E-03
   6.733333E-02     2.537498E-01     1.751130E+01     1.056057E-03
   6.750000E-02     2.542367E-01     1.751130E+01     1.059314E-03
   6.766667E-02     2.547240E-01     1.751131E+01     1.062575E-03
   6.783333E-02     2.552118E-01     1.751131E+01     1.065838E-03
   6.800000E-02     2.557001E-01     1.751131E+01     1.069104E-03
   6.816667E-02     2.561888E-01     1.751132E+01     1.072374E-03
   6.833333E-02     2.566780E-01     1.751132E+01     1.075647E-03
   6.850000E-02     2.571677E-01     1.751132E+01     1.078923E-03
   6.866667E-02     2.576578E-01     1.751133E+01     1.082203E-03
   6.883333E-02     2.581484E-01     1.751133E+01     1.085485E-03
   6.900000E-02     2.586395E-01     1.751133E+01     1.088771E-03
   6.916667E-02     2.591310E-01     1.751134E+01     1.092060E-03
   6.933333E-02     2.596230E-01     1.751134E+01     1.095352E-03
   6.950000E-02     2.601154E-01     1.751134E+01     1.098648E-03
   6.966667E-02     2.606084E-01     1.751135E+01     1.101946E-03
   6.983333E-02     2.611018E-01     1.751135E+01     1.105248E-03
