# PE_center   Total   1SE   2SE   3SE   4SE   5SE   6SE   7SE
   512.5   0.379512E-11   0.152660-279   0.586001-114   0.373060E-61   0.157936E-36   0.335755E-23   0.151894E-15   0.379497E-11
   517.5   0.379512E-11   0.152660-279   0.586001-114   0.373060E-61   0.157936E-36   0.335755E-23   0.151894E-15   0.379497E-11
   522.5   0.379512E-11   0.152660-279   0.586001-114   0.373060E-61   0.157936E-36   0.335755E-23   0.151894E-15   0.379497E-11
   527.5   0.379512E-11   0.152660-279   0.586001-114   0.373060E-61   0.157936E-36   0.335755E-23   0.151894E-15   0.379497E-11
   532.5   0.379512E-11   0.152660-279   0.586001-114   0.373060E-61   0.157936E-36   0.335755E-23   0.151894E-15   0.379497E-11
   537.5   0.379512E-11   0.152660-279   0.586001-114   0.373060E-61   0.157936E-36   0.335755E-23   0.151894E-15   0.379497E-11
   542.5   0.379512E-11   0.152660-279   0.586001-114   0.373060E-61   0.157936E-36   0.335755E-23   0.151894E-15   0.379497E-11
   547.5   0.379512E-11   0.152660-279   0.586001-114   0.373060E-61   0.157936E-36   0.335755E-23   0.151894E-15   0.379497E-11
   552.5   0.379512E-11   0.152660-279   0.586001-114   0.373060E-61   0.157936E-36   0.335755E-23   0.151894E-15   0.379497E-11
   557.5   0.379512E-11   0.152660-279   0.586001-114   0.373060E-61   0.157936E-36   0.335755E-23   0.151894E-15   0.379497E-11
   562.5   0.379512E-11   0.152660-279   0.586001-114   0.373060E-61   0.157936E-36   0.335755E-23   0.151894E-15   0.379497E-11
   567.5   0.379512E-11   0.152660-279   0.586001-114   0.373060E-61   0.157936E-36   0.335755E-23   0.151894E-15   0.379497E-11
   572.5   0.379512E-11   0.152660-279   0.586001-114   0.373060E-61   0.157936E-36   0.335755E-23   0.151894E-15   0.379497E-11
   577.5   0.379512E-11   0.152660-279   0.586001-114   0.373060E-61   0.157936E-36   0.335755E-23   0.151894E-15   0.379497E-11
   582.5   0.379512E-11   0.152660-279   0.586001-114   0.373060E-61   0.157936E-36   0.335755E-23   0.151894E-15   0.379497E-11
   587.5   0.379512E-11   0.152660-279   0.586001-114   0.373060E-61   0.157936E-36   0.335755E-23   0.151894E-15   0.379497E-11
