# Tabla NEST para RED-100
# Xe NR, rho=2.96 g/cm3, E_drift=218.0 V/cm, NEST 2.4.5
# F estimado con 20000 muestras de GetQuanta por energia
# T_nr[keV]   Qy[e-/keV]   F=Var(Ne)/<Ne>
# N_puntos = 4000
1.881920   7.077893   0.442382
1.884871   7.077721   0.436210
1.887822   7.077547   0.433057
1.890773   7.077370   0.437202
1.893723   7.077190   0.439024
1.896674   7.077009   0.435961
1.899625   7.076825   0.440614
1.902576   7.076638   0.434995
1.905526   7.076450   0.438789
1.908477   7.076259   0.439052
1.911428   7.076066   0.435488
1.914379   7.075871   0.436935
1.917329   7.075673   0.433180
1.920280   7.075473   0.434702
1.923231   7.075272   0.435800
1.926182   7.075067   0.430372
1.929132   7.074861   0.438370
1.932083   7.074653   0.441132
1.935034   7.074442   0.426894
1.937984   7.074229   0.437384
1.940935   7.074015   0.435334
1.943886   7.073798   0.429957
1.946837   7.073579   0.440231
1.949787   7.073357   0.443314
1.952738   7.073134   0.436925
1.955689   7.072909   0.442564
1.958640   7.072682   0.432455
1.961590   7.072453   0.448550
1.964541   7.072221   0.435953
1.967492   7.071988   0.441532
1.970443   7.071753   0.436113
1.973393   7.071516   0.439298
1.976344   7.071276   0.436105
1.979295   7.071035   0.441027
1.982246   7.070792   0.444023
1.985196   7.070547   0.436477
1.988147   7.070300   0.445886
1.991098   7.070052   0.440257
1.994049   7.069801   0.440140
1.996999   7.069548   0.425167
1.999950   7.069294   0.449660
2.002901   7.069038   0.436066
2.005851   7.068780   0.432742
2.008802   7.068520   0.440841
2.011753   7.068258   0.443415
2.014704   7.067994   0.442929
2.017654   7.067729   0.441395
2.020605   7.067462   0.438940
2.023556   7.067193   0.436021
2.026507   7.066923   0.436525
2.029457   7.066650   0.440929
2.032408   7.066376   0.438484
2.035359   7.066100   0.447729
2.038310   7.065823   0.440924
2.041260   7.065543   0.443519
2.044211   7.065263   0.438863
2.047162   7.064980   0.433159
2.050113   7.064696   0.442441
2.053063   7.064410   0.445421
2.056014   7.064122   0.440826
2.058965   7.063833   0.440268
2.061915   7.063542   0.436926
2.064866   7.063249   0.443338
2.067817   7.062955   0.444765
2.070768   7.062660   0.444578
2.073718   7.062362   0.445987
2.076669   7.062064   0.438222
2.079620   7.061763   0.445210
2.082571   7.061461   0.441756
2.085521   7.061158   0.444814
2.088472   7.060853   0.445318
2.091423   7.060546   0.445668
2.094374   7.060238   0.442588
2.097324   7.059928   0.443390
2.100275   7.059617   0.445435
2.103226   7.059304   0.429062
2.106177   7.058990   0.444892
2.109127   7.058675   0.437389
2.112078   7.058358   0.448235
2.115029   7.058039   0.444624
2.117979   7.057719   0.433424
2.120930   7.057398   0.424709
2.123881   7.057075   0.446153
2.126832   7.056751   0.444546
2.129782   7.056425   0.443844
2.132733   7.056098   0.434043
2.135684   7.055769   0.446656
2.138635   7.055439   0.443779
2.141585   7.055108   0.445390
2.144536   7.054776   0.446535
2.147487   7.054442   0.450217
2.150438   7.054106   0.452313
2.153388   7.053770   0.447474
2.156339   7.053432   0.435297
2.159290   7.053092   0.446701
2.162241   7.052752   0.439931
2.165191   7.052410   0.446583
2.168142   7.052066   0.440693
2.171093   7.051722   0.446213
2.174044   7.051376   0.439236
2.176994   7.051029   0.444374
2.179945   7.050680   0.442800
2.182896   7.050331   0.445323
2.185846   7.049980   0.442797
2.188797   7.049628   0.448780
2.191748   7.049274   0.437846
2.194699   7.048920   0.435507
2.197649   7.048564   0.444230
2.200600   7.048207   0.447163
2.203551   7.047848   0.447175
2.206502   7.047489   0.446657
2.209452   7.047128   0.437775
2.212403   7.046766   0.443819
2.215354   7.046403   0.451509
2.218305   7.046039   0.442690
2.221255   7.045673   0.449234
2.224206   7.045307   0.445294
2.227157   7.044939   0.444024
2.230108   7.044570   0.447238
2.233058   7.044200   0.445304
2.236009   7.043829   0.451810
