# Tabla NEST para RED-100 con ARGON  (Ar, retroceso ELECTRONICO)
# Uso: fondo beta de 39Ar (39Ar -> 39K + e- + nubar).  El espectro
#      beta y la actividad viven en chi2_bkg_nest.f90.
# Modelo: nestpy.LArNEST get_er_yields, E_drift=218.0 V/cm, rho=1.4
# F_er = 0.3 constante (get_fano_er no disponible) - sistematico
# E_er < 0.2 keV: EXTRAPOLACION DE MODELO (sin datos ER de LAr a esa energia)
# E_er[keV]   Qy_er[e-/keV]   F_er
# N_puntos = 4000
6.226464e-02   53.021284   0.300000
6.237861e-02   53.021212   0.300000
6.249279e-02   53.021140   0.300000
6.260718e-02   53.021068   0.300000
6.272178e-02   53.020995   0.300000
6.283658e-02   53.020922   0.300000
6.295160e-02   53.020849   0.300000
6.306683e-02   53.020775   0.300000
6.318227e-02   53.020701   0.300000
6.329792e-02   53.020627   0.300000
6.341379e-02   53.020553   0.300000
6.352986e-02   53.020478   0.300000
6.364615e-02   53.020403   0.300000
6.376265e-02   53.020327   0.300000
6.387936e-02   53.020251   0.300000
6.399629e-02   53.020175   0.300000
6.411343e-02   53.020099   0.300000
6.423078e-02   53.020022   0.300000
6.434836e-02   53.019944   0.300000
6.446614e-02   53.019867   0.300000
6.458414e-02   53.019789   0.300000
6.470236e-02   53.019711   0.300000
6.482079e-02   53.019632   0.300000
6.493944e-02   53.019554   0.300000
6.505831e-02   53.019474   0.300000
6.517740e-02   53.019395   0.300000
6.529670e-02   53.019315   0.300000
6.541622e-02   53.019235   0.300000
6.553596e-02   53.019154   0.300000
6.565592e-02   53.019073   0.300000
6.577610e-02   53.018992   0.300000
6.589650e-02   53.018910   0.300000
6.601712e-02   53.018828   0.300000
6.613796e-02   53.018746   0.300000
6.625902e-02   53.018663   0.300000
6.638030e-02   53.018580   0.300000
6.650181e-02   53.018496   0.300000
6.662353e-02   53.018412   0.300000
6.674548e-02   53.018328   0.300000
6.686766e-02   53.018244   0.300000
6.699005e-02   53.018159   0.300000
6.711267e-02   53.018073   0.300000
6.723552e-02   53.017988   0.300000
6.735859e-02   53.017901   0.300000
6.748189e-02   53.017815   0.300000
6.760541e-02   53.017728   0.300000
6.772915e-02   53.017641   0.300000
6.785313e-02   53.017553   0.300000
6.797733e-02   53.017465   0.300000
6.810176e-02   53.017377   0.300000
6.822641e-02   53.017288   0.300000
6.835130e-02   53.017199   0.300000
6.847641e-02   53.017109   0.300000
6.860175e-02   53.017019   0.300000
6.872732e-02   53.016929   0.300000
6.885312e-02   53.016838   0.300000
6.897915e-02   53.016747   0.300000
6.910542e-02   53.016655   0.300000
6.923191e-02   53.016563   0.300000
6.935863e-02   53.016470   0.300000
6.948559e-02   53.016378   0.300000
6.961278e-02   53.016284   0.300000
6.974020e-02   53.016191   0.300000
6.986786e-02   53.016096   0.300000
6.999574e-02   53.016002   0.300000
7.012387e-02   53.015907   0.300000
7.025222e-02   53.015811   0.300000
7.038082e-02   53.015716   0.300000
7.050964e-02   53.015619   0.300000
7.063871e-02   53.015522   0.300000
7.076801e-02   53.015425   0.300000
7.089754e-02   53.015328   0.300000
7.102732e-02   53.015230   0.300000
7.115733e-02   53.015131   0.300000
7.128758e-02   53.015032   0.300000
7.141806e-02   53.014933   0.300000
7.154879e-02   53.014833   0.300000
7.167975e-02   53.014732   0.300000
7.181096e-02   53.014632   0.300000
7.194241e-02   53.014530   0.300000
7.207409e-02   53.014429   0.300000
7.220602e-02   53.014327   0.300000
7.233819e-02   53.014224   0.300000
