# A   chi2_sinNuisance   chi2_conNuisance
  1.008101E+01    1.051764E+03    3.480099E+01
  1.011101E+01    1.058703E+03    3.482391E+01
  1.014101E+01    1.065666E+03    3.484670E+01
  1.017102E+01    1.072651E+03    3.486935E+01
  1.020102E+01    1.079659E+03    3.489187E+01
  1.023102E+01    1.086691E+03    3.491426E+01
  1.026103E+01    1.093745E+03    3.493652E+01
  1.029103E+01    1.100823E+03    3.495865E+01
  1.032103E+01    1.107923E+03    3.498065E+01
  1.035104E+01    1.115046E+03    3.500252E+01
  1.038104E+01    1.122192E+03    3.502427E+01
  1.041104E+01    1.129362E+03    3.504589E+01
  1.044104E+01    1.136554E+03    3.506739E+01
  1.047105E+01    1.143769E+03    3.508877E+01
  1.050105E+01    1.151007E+03    3.511002E+01
  1.053105E+01    1.158268E+03    3.513115E+01
  1.056106E+01    1.165552E+03    3.515217E+01
  1.059106E+01    1.172860E+03    3.517306E+01
  1.062106E+01    1.180190E+03    3.519384E+01
  1.065107E+01    1.187543E+03    3.521450E+01
  1.068107E+01    1.194919E+03    3.523504E+01
  1.071107E+01    1.202318E+03    3.525547E+01
  1.074107E+01    1.209740E+03    3.527579E+01
  1.077108E+01    1.217185E+03    3.529599E+01
  1.080108E+01    1.224653E+03    3.531608E+01
  1.083108E+01    1.232144E+03    3.533606E+01
  1.086109E+01    1.239658E+03    3.535593E+01
  1.089109E+01    1.247194E+03    3.537569E+01
  1.092109E+01    1.254754E+03    3.539534E+01
  1.095110E+01    1.262337E+03    3.541488E+01
  1.098110E+01    1.269943E+03    3.543432E+01
  1.101110E+01    1.277572E+03    3.545365E+01
  1.104110E+01    1.285224E+03    3.547287E+01
  1.107111E+01    1.292898E+03    3.549199E+01
  1.110111E+01    1.300596E+03    3.551101E+01
  1.113111E+01    1.308317E+03    3.552992E+01
  1.116112E+01    1.316060E+03    3.554873E+01
  1.119112E+01    1.323827E+03    3.556745E+01
  1.122112E+01    1.331617E+03    3.558606E+01
  1.125113E+01    1.339429E+03    3.560457E+01
  1.128113E+01    1.347265E+03    3.562298E+01
  1.131113E+01    1.355124E+03    3.564130E+01
  1.134113E+01    1.363005E+03    3.565951E+01
  1.137114E+01    1.370910E+03    3.567763E+01
  1.140114E+01    1.378837E+03    3.569566E+01
  1.143114E+01    1.386788E+03    3.571359E+01
  1.146115E+01    1.394761E+03    3.573143E+01
  1.149115E+01    1.402758E+03    3.574917E+01
  1.152115E+01    1.410777E+03    3.576682E+01
  1.155116E+01    1.418819E+03    3.578438E+01
  1.158116E+01    1.426885E+03    3.580185E+01
  1.161116E+01    1.434973E+03    3.581922E+01
  1.164116E+01    1.443084E+03    3.583651E+01
  1.167117E+01    1.451219E+03    3.585371E+01
  1.170117E+01    1.459376E+03    3.587082E+01
  1.173117E+01    1.467556E+03    3.588784E+01
  1.176118E+01    1.475760E+03    3.590477E+01
  1.179118E+01    1.483986E+03    3.592162E+01
  1.182118E+01    1.492235E+03    3.593838E+01
  1.185119E+01    1.500507E+03    3.595505E+01
  1.188119E+01    1.508802E+03    3.597165E+01
  1.191119E+01    1.517120E+03    3.598815E+01
  1.194119E+01    1.525462E+03    3.600458E+01
  1.197120E+01    1.533826E+03    3.602092E+01
  1.200120E+01    1.542213E+03    3.603718E+01
  1.203120E+01    1.550623E+03    3.605335E+01
  1.206121E+01    1.559056E+03    3.606945E+01
  1.209121E+01    1.567512E+03    3.608546E+01
  1.212121E+01    1.575991E+03    3.610140E+01
  1.215122E+01    1.584493E+03    3.611726E+01
  1.218122E+01    1.593018E+03    3.613304E+01
  1.221122E+01    1.601566E+03    3.614874E+01
  1.224122E+01    1.610136E+03    3.616436E+01
  1.227123E+01    1.618730E+03    3.617990E+01
  1.230123E+01    1.627347E+03    3.619537E+01
  1.233123E+01    1.635987E+03    3.621077E+01
  1.236124E+01    1.644650E+03    3.622609E+01
  1.239124E+01    1.653336E+03    3.624133E+01
  1.242124E+01    1.662044E+03    3.625650E+01
  1.245125E+01    1.670776E+03    3.627159E+01
  1.248125E+01    1.679531E+03    3.628662E+01
  1.251125E+01    1.688308E+03    3.630157E+01
  1.254125E+01    1.697109E+03    3.631644E+01
  1.257126E+01    1.705933E+03    3.633125E+01
  1.260126E+01    1.714779E+03    3.634599E+01
  1.263126E+01    1.723649E+03    3.636065E+01
  1.266127E+01    1.732542E+03    3.637525E+01
  1.269127E+01    1.741457E+03    3.638977E+01
  1.272127E+01    1.750396E+03    3.640423E+01
  1.275128E+01    1.759357E+03    3.641861E+01
  1.278128E+01    1.768342E+03    3.643293E+01
  1.281128E+01    1.777349E+03    3.644718E+01
  1.284128E+01    1.786380E+03    3.646137E+01
  1.287129E+01    1.795433E+03    3.647549E+01
  1.290129E+01    1.804509E+03    3.648954E+01
  1.293129E+01    1.813609E+03    3.650352E+01
  1.296130E+01    1.822731E+03    3.651744E+01
  1.299130E+01    1.831876E+03    3.653130E+01
  1.302130E+01    1.841045E+03    3.654509E+01
  1.305131E+01    1.850236E+03    3.655882E+01
  1.308131E+01    1.859450E+03    3.657248E+01
  1.311131E+01    1.868688E+03    3.658608E+01
